Job: 4122 | DGX | Wed Feb 25 11:00:50 CET 2026
[1/3] Sanitize JSONL...
✅ sanitized: in=15000, out=15000, bad=0
   wrote -> data/processed/train_compute.clean.jsonl
[2/3] Split train/val...
[SPLIT] total=15000 train=14700 val=300
train-> data/processed/train_compute.clean.train.jsonl
val  -> data/processed/train_compute.clean.val.jsonl
[3/3] Train COMPUTE...
trainable params: 40,370,176 || all params: 7,653,162,496 || trainable%: 0.5275
{'loss': 0.0391, 'grad_norm': 0.1436423659324646, 'learning_rate': 5.2121871599564744e-05, 'epoch': 0.74}
{'loss': 0.0544, 'grad_norm': 0.27572035789489746, 'learning_rate': 4.99455930359086e-05, 'epoch': 0.75}
{'loss': 0.0518, 'grad_norm': 0.2991790771484375, 'learning_rate': 4.7769314472252454e-05, 'epoch': 0.76}
{'loss': 0.0402, 'grad_norm': 0.2317112535238266, 'learning_rate': 4.55930359085963e-05, 'epoch': 0.77}
{'loss': 0.0518, 'grad_norm': 0.16754673421382904, 'learning_rate': 4.341675734494016e-05, 'epoch': 0.78}
{'loss': 0.0509, 'grad_norm': 0.2175236940383911, 'learning_rate': 4.1240478781284006e-05, 'epoch': 0.79}
{'loss': 0.0476, 'grad_norm': 0.22139981389045715, 'learning_rate': 3.906420021762786e-05, 'epoch': 0.81}
{'loss': 0.0428, 'grad_norm': 0.19623427093029022, 'learning_rate': 3.688792165397171e-05, 'epoch': 0.82}
{'eval_loss': 0.0429203137755394, 'eval_runtime': 30.4741, 'eval_samples_per_second': 9.844, 'eval_steps_per_second': 1.247, 'epoch': 0.82}
{'loss': 0.0436, 'grad_norm': 0.24436135590076447, 'learning_rate': 3.471164309031556e-05, 'epoch': 0.83}
{'loss': 0.0566, 'grad_norm': 0.1555907279253006, 'learning_rate': 3.253536452665941e-05, 'epoch': 0.84}
{'loss': 0.0401, 'grad_norm': 0.2201852798461914, 'learning_rate': 3.0359085963003265e-05, 'epoch': 0.85}
