Job ID: 4078
Node: DGX
Wed Feb 18 09:57:19 CET 2026
trainable params: 40,370,176 || all params: 7,655,986,688 || trainable%: 0.5273
{'loss': 0.1744, 'grad_norm': 0.31735125184059143, 'learning_rate': 0.00014234013605442177, 'epoch': 0.29}
{'loss': 0.1607, 'grad_norm': 0.17200417816638947, 'learning_rate': 0.00014179591836734694, 'epoch': 0.29}
{'loss': 0.1762, 'grad_norm': 0.10814432799816132, 'learning_rate': 0.0001412517006802721, 'epoch': 0.29}
{'loss': 0.1685, 'grad_norm': 0.12588663399219513, 'learning_rate': 0.00014070748299319728, 'epoch': 0.3}
{'loss': 0.1758, 'grad_norm': 0.12131354212760925, 'learning_rate': 0.00014016326530612246, 'epoch': 0.3}
{'loss': 0.169, 'grad_norm': 0.12820295989513397, 'learning_rate': 0.00013961904761904763, 'epoch': 0.3}
{'loss': 0.1594, 'grad_norm': 0.14030154049396515, 'learning_rate': 0.0001390748299319728, 'epoch': 0.3}
{'loss': 0.1918, 'grad_norm': 0.19758327305316925, 'learning_rate': 0.00013853061224489797, 'epoch': 0.31}
{'loss': 0.1598, 'grad_norm': 0.19890785217285156, 'learning_rate': 0.00013798639455782314, 'epoch': 0.31}
{'loss': 0.1684, 'grad_norm': 0.12480282038450241, 'learning_rate': 0.0001374421768707483, 'epoch': 0.31}
{'loss': 0.2051, 'grad_norm': 0.13716283440589905, 'learning_rate': 0.00013689795918367346, 'epoch': 0.32}
{'loss': 0.1898, 'grad_norm': 0.17961764335632324, 'learning_rate': 0.00013635374149659866, 'epoch': 0.32}
{'loss': 0.1799, 'grad_norm': 0.12924857437610626, 'learning_rate': 0.0001358095238095238, 'epoch': 0.32}
{'loss': 0.1777, 'grad_norm': 0.1170077919960022, 'learning_rate': 0.00013526530612244898, 'epoch': 0.32}
{'loss': 0.1719, 'grad_norm': 0.19509755074977875, 'learning_rate': 0.00013472108843537418, 'epoch': 0.33}
{'loss': 0.1699, 'grad_norm': 0.09917950630187988, 'learning_rate': 0.00013417687074829932, 'epoch': 0.33}
{'loss': 0.1828, 'grad_norm': 0.1385377198457718, 'learning_rate': 0.0001336326530612245, 'epoch': 0.33}
{'loss': 0.1643, 'grad_norm': 0.11147762089967728, 'learning_rate': 0.00013308843537414967, 'epoch': 0.33}
{'loss': 0.1587, 'grad_norm': 0.12034198641777039, 'learning_rate': 0.00013254421768707484, 'epoch': 0.34}
{'loss': 0.1896, 'grad_norm': 0.1833338886499405, 'learning_rate': 0.000132, 'epoch': 0.34}
{'eval_loss': 0.2074679583311081, 'eval_runtime': 94.2151, 'eval_samples_per_second': 12.737, 'eval_steps_per_second': 12.737, 'epoch': 0.34}
{'loss': 0.1588, 'grad_norm': 0.1226143017411232, 'learning_rate': 0.00013145578231292516, 'epoch': 0.34}
{'loss': 0.1731, 'grad_norm': 0.46200665831565857, 'learning_rate': 0.00013091156462585035, 'epoch': 0.35}
{'loss': 0.1733, 'grad_norm': 0.10824321210384369, 'learning_rate': 0.00013036734693877553, 'epoch': 0.35}
{'loss': 0.1444, 'grad_norm': 0.11208701133728027, 'learning_rate': 0.00012982312925170067, 'epoch': 0.35}
{'loss': 0.1588, 'grad_norm': 0.12790189683437347, 'learning_rate': 0.00012927891156462587, 'epoch': 0.35}
{'loss': 0.1502, 'grad_norm': 0.1590522974729538, 'learning_rate': 0.00012873469387755102, 'epoch': 0.36}
{'loss': 0.1792, 'grad_norm': 0.13590021431446075, 'learning_rate': 0.0001281904761904762, 'epoch': 0.36}
{'loss': 0.15, 'grad_norm': 0.15057629346847534, 'learning_rate': 0.00012764625850340136, 'epoch': 0.36}
{'loss': 0.1692, 'grad_norm': 0.08085276931524277, 'learning_rate': 0.00012710204081632653, 'epoch': 0.36}
{'loss': 0.1936, 'grad_norm': 0.13304772973060608, 'learning_rate': 0.0001265578231292517, 'epoch': 0.37}
{'loss': 0.1634, 'grad_norm': 0.07989736646413803, 'learning_rate': 0.00012601360544217688, 'epoch': 0.37}
{'loss': 0.1723, 'grad_norm': 0.12022385001182556, 'learning_rate': 0.00012546938775510205, 'epoch': 0.37}
{'loss': 0.1591, 'grad_norm': 0.13583724200725555, 'learning_rate': 0.00012492517006802722, 'epoch': 0.38}
{'loss': 0.1777, 'grad_norm': 0.14428532123565674, 'learning_rate': 0.0001243809523809524, 'epoch': 0.38}
{'loss': 0.1821, 'grad_norm': 0.1452275663614273, 'learning_rate': 0.00012383673469387757, 'epoch': 0.38}
{'loss': 0.1674, 'grad_norm': 0.1074649915099144, 'learning_rate': 0.00012329251700680274, 'epoch': 0.38}
{'loss': 0.1988, 'grad_norm': 0.1641777902841568, 'learning_rate': 0.00012274829931972788, 'epoch': 0.39}
{'loss': 0.174, 'grad_norm': 0.1952606588602066, 'learning_rate': 0.00012220408163265305, 'epoch': 0.39}
{'loss': 0.1578, 'grad_norm': 0.17798306047916412, 'learning_rate': 0.00012165986394557824, 'epoch': 0.39}
{'loss': 0.1668, 'grad_norm': 0.14718574285507202, 'learning_rate': 0.0001211156462585034, 'epoch': 0.39}
{'loss': 0.1772, 'grad_norm': 0.18289940059185028, 'learning_rate': 0.00012057142857142858, 'epoch': 0.4}
{'loss': 0.1727, 'grad_norm': 0.2715117633342743, 'learning_rate': 0.00012002721088435376, 'epoch': 0.4}
{'loss': 0.1628, 'grad_norm': 0.11038541793823242, 'learning_rate': 0.00011948299319727892, 'epoch': 0.4}
{'loss': 0.1535, 'grad_norm': 0.11496125161647797, 'learning_rate': 0.00011893877551020409, 'epoch': 0.41}
{'loss': 0.1739, 'grad_norm': 0.14196394383907318, 'learning_rate': 0.00011839455782312925, 'epoch': 0.41}
{'eval_loss': 0.20313391089439392, 'eval_runtime': 94.8206, 'eval_samples_per_second': 12.655, 'eval_steps_per_second': 12.655, 'epoch': 0.41}
{'loss': 0.1939, 'grad_norm': 0.20304091274738312, 'learning_rate': 0.00011785034013605443, 'epoch': 0.41}
{'loss': 0.1513, 'grad_norm': 0.1972508728504181, 'learning_rate': 0.0001173061224489796, 'epoch': 0.41}
{'loss': 0.185, 'grad_norm': 0.14659300446510315, 'learning_rate': 0.00011676190476190476, 'epoch': 0.42}
{'loss': 0.1748, 'grad_norm': 0.14533792436122894, 'learning_rate': 0.00011621768707482993, 'epoch': 0.42}
{'loss': 0.1735, 'grad_norm': 0.3565703332424164, 'learning_rate': 0.00011567346938775512, 'epoch': 0.42}
{'loss': 0.1632, 'grad_norm': 0.10330218076705933, 'learning_rate': 0.00011512925170068028, 'epoch': 0.42}
{'loss': 0.1765, 'grad_norm': 0.11616601049900055, 'learning_rate': 0.00011458503401360545, 'epoch': 0.43}
{'loss': 0.1619, 'grad_norm': 0.1883198618888855, 'learning_rate': 0.00011404081632653061, 'epoch': 0.43}
{'loss': 0.151, 'grad_norm': 0.16013222932815552, 'learning_rate': 0.00011349659863945578, 'epoch': 0.43}
{'loss': 0.1713, 'grad_norm': 0.11088653653860092, 'learning_rate': 0.00011295238095238097, 'epoch': 0.44}
{'loss': 0.1943, 'grad_norm': 0.08768314123153687, 'learning_rate': 0.00011240816326530613, 'epoch': 0.44}
{'loss': 0.1718, 'grad_norm': 0.15845130383968353, 'learning_rate': 0.0001118639455782313, 'epoch': 0.44}
{'loss': 0.2038, 'grad_norm': 0.10120129585266113, 'learning_rate': 0.00011131972789115648, 'epoch': 0.44}
{'loss': 0.1842, 'grad_norm': 0.14430834352970123, 'learning_rate': 0.00011077551020408163, 'epoch': 0.45}
{'loss': 0.1636, 'grad_norm': 0.16571806371212006, 'learning_rate': 0.00011023129251700681, 'epoch': 0.45}
{'loss': 0.1695, 'grad_norm': 0.15410619974136353, 'learning_rate': 0.00010968707482993197, 'epoch': 0.45}
{'loss': 0.1676, 'grad_norm': 0.18819603323936462, 'learning_rate': 0.00010914285714285715, 'epoch': 0.45}
{'loss': 0.1649, 'grad_norm': 0.1378975659608841, 'learning_rate': 0.00010859863945578233, 'epoch': 0.46}
{'loss': 0.1918, 'grad_norm': 0.15891681611537933, 'learning_rate': 0.00010805442176870748, 'epoch': 0.46}
{'loss': 0.1457, 'grad_norm': 0.08280619978904724, 'learning_rate': 0.00010751020408163266, 'epoch': 0.46}
{'loss': 0.1843, 'grad_norm': 0.0938321128487587, 'learning_rate': 0.00010696598639455783, 'epoch': 0.47}
{'loss': 0.1533, 'grad_norm': 0.082621268928051, 'learning_rate': 0.00010642176870748299, 'epoch': 0.47}
{'loss': 0.1457, 'grad_norm': 0.10713504999876022, 'learning_rate': 0.00010587755102040818, 'epoch': 0.47}
{'loss': 0.1636, 'grad_norm': 0.09822551906108856, 'learning_rate': 0.00010533333333333332, 'epoch': 0.47}
{'loss': 0.1713, 'grad_norm': 0.09248843044042587, 'learning_rate': 0.00010478911564625851, 'epoch': 0.48}
{'eval_loss': 0.1970740258693695, 'eval_runtime': 93.8213, 'eval_samples_per_second': 12.79, 'eval_steps_per_second': 12.79, 'epoch': 0.48}
{'loss': 0.1542, 'grad_norm': 0.2143232524394989, 'learning_rate': 0.00010424489795918368, 'epoch': 0.48}
{'loss': 0.1707, 'grad_norm': 0.1290130317211151, 'learning_rate': 0.00010370068027210884, 'epoch': 0.48}
{'loss': 0.1716, 'grad_norm': 0.27616432309150696, 'learning_rate': 0.00010315646258503403, 'epoch': 0.48}
{'loss': 0.1665, 'grad_norm': 0.12630344927310944, 'learning_rate': 0.0001026122448979592, 'epoch': 0.49}
{'loss': 0.1611, 'grad_norm': 0.15798228979110718, 'learning_rate': 0.00010206802721088436, 'epoch': 0.49}
{'loss': 0.1636, 'grad_norm': 0.1617826223373413, 'learning_rate': 0.00010152380952380953, 'epoch': 0.49}
{'loss': 0.1635, 'grad_norm': 0.2009364515542984, 'learning_rate': 0.00010097959183673469, 'epoch': 0.5}
{'loss': 0.1838, 'grad_norm': 0.09152159094810486, 'learning_rate': 0.00010043537414965987, 'epoch': 0.5}
{'loss': 0.1667, 'grad_norm': 0.2113577127456665, 'learning_rate': 9.989115646258503e-05, 'epoch': 0.5}
{'loss': 0.1626, 'grad_norm': 0.11543291807174683, 'learning_rate': 9.934693877551022e-05, 'epoch': 0.5}
{'loss': 0.1596, 'grad_norm': 0.1241908147931099, 'learning_rate': 9.880272108843538e-05, 'epoch': 0.51}
{'loss': 0.1566, 'grad_norm': 0.09570653736591339, 'learning_rate': 9.825850340136055e-05, 'epoch': 0.51}
{'loss': 0.1539, 'grad_norm': 0.15387338399887085, 'learning_rate': 9.771428571428572e-05, 'epoch': 0.51}
{'loss': 0.1916, 'grad_norm': 0.14799894392490387, 'learning_rate': 9.717006802721089e-05, 'epoch': 0.51}
{'loss': 0.1809, 'grad_norm': 0.14219078421592712, 'learning_rate': 9.662585034013606e-05, 'epoch': 0.52}
{'loss': 0.1692, 'grad_norm': 0.18896766006946564, 'learning_rate': 9.608163265306122e-05, 'epoch': 0.52}
{'loss': 0.1467, 'grad_norm': 0.09994792193174362, 'learning_rate': 9.55374149659864e-05, 'epoch': 0.52}
{'loss': 0.1658, 'grad_norm': 0.10323631018400192, 'learning_rate': 9.499319727891157e-05, 'epoch': 0.53}
{'loss': 0.1741, 'grad_norm': 0.15015852451324463, 'learning_rate': 9.444897959183674e-05, 'epoch': 0.53}
{'loss': 0.1645, 'grad_norm': 0.13207705318927765, 'learning_rate': 9.390476190476191e-05, 'epoch': 0.53}
{'loss': 0.1582, 'grad_norm': 0.15460385382175446, 'learning_rate': 9.336054421768708e-05, 'epoch': 0.53}
{'loss': 0.1573, 'grad_norm': 0.11413845419883728, 'learning_rate': 9.281632653061226e-05, 'epoch': 0.54}
{'loss': 0.145, 'grad_norm': 0.09358192980289459, 'learning_rate': 9.227210884353741e-05, 'epoch': 0.54}
{'loss': 0.1602, 'grad_norm': 0.13755293190479279, 'learning_rate': 9.172789115646259e-05, 'epoch': 0.54}
{'loss': 0.1447, 'grad_norm': 0.1008138656616211, 'learning_rate': 9.118367346938776e-05, 'epoch': 0.54}
{'eval_loss': 0.19149087369441986, 'eval_runtime': 94.1157, 'eval_samples_per_second': 12.75, 'eval_steps_per_second': 12.75, 'epoch': 0.54}
{'loss': 0.1572, 'grad_norm': 0.17521800100803375, 'learning_rate': 9.063945578231293e-05, 'epoch': 0.55}
{'loss': 0.1698, 'grad_norm': 0.12058353424072266, 'learning_rate': 9.00952380952381e-05, 'epoch': 0.55}
{'loss': 0.1715, 'grad_norm': 0.16959385573863983, 'learning_rate': 8.955102040816326e-05, 'epoch': 0.55}
{'loss': 0.1439, 'grad_norm': 0.09068754315376282, 'learning_rate': 8.900680272108845e-05, 'epoch': 0.56}
{'loss': 0.1522, 'grad_norm': 0.09668439626693726, 'learning_rate': 8.84625850340136e-05, 'epoch': 0.56}
{'loss': 0.162, 'grad_norm': 0.06556788831949234, 'learning_rate': 8.791836734693878e-05, 'epoch': 0.56}
{'loss': 0.1572, 'grad_norm': 0.13045059144496918, 'learning_rate': 8.737414965986395e-05, 'epoch': 0.56}
{'loss': 0.1542, 'grad_norm': 0.1284574568271637, 'learning_rate': 8.682993197278912e-05, 'epoch': 0.57}
{'loss': 0.1543, 'grad_norm': 0.20050697028636932, 'learning_rate': 8.62857142857143e-05, 'epoch': 0.57}
{'loss': 0.1854, 'grad_norm': 0.26064789295196533, 'learning_rate': 8.574149659863945e-05, 'epoch': 0.57}
{'loss': 0.1588, 'grad_norm': 0.13448458909988403, 'learning_rate': 8.519727891156462e-05, 'epoch': 0.57}
{'loss': 0.155, 'grad_norm': 0.21197426319122314, 'learning_rate': 8.465306122448981e-05, 'epoch': 0.58}
{'loss': 0.159, 'grad_norm': 0.19454145431518555, 'learning_rate': 8.410884353741497e-05, 'epoch': 0.58}
{'loss': 0.1626, 'grad_norm': 0.11609941720962524, 'learning_rate': 8.356462585034014e-05, 'epoch': 0.58}
{'loss': 0.1644, 'grad_norm': 0.14865881204605103, 'learning_rate': 8.30204081632653e-05, 'epoch': 0.59}
{'loss': 0.1525, 'grad_norm': 0.11652685701847076, 'learning_rate': 8.247619047619049e-05, 'epoch': 0.59}
{'loss': 0.1536, 'grad_norm': 0.17140628397464752, 'learning_rate': 8.193197278911566e-05, 'epoch': 0.59}
{'loss': 0.1552, 'grad_norm': 0.09316809475421906, 'learning_rate': 8.138775510204082e-05, 'epoch': 0.59}
{'loss': 0.1432, 'grad_norm': 0.22480323910713196, 'learning_rate': 8.084353741496599e-05, 'epoch': 0.6}
